( 1391 , FR941006-1-00141 , 1 )
( 993 , FR941006-1-00141 , 1 )
( 66 , FR941006-1-00141 , 1 )
( 813 , FR941006-1-00141 , 1 )
( 334 , FR941006-1-00141 , 1 )
( 455 , FR941006-1-00141 , 1 )
( 28 , FR941006-1-00141 , 1 )
( 1567 , FR941006-1-00141 , 1 )
( 5612 , FR941006-1-00141 , 1 )
( 2813 , FR941006-1-00141 , 1 )
( 41 , FR941006-1-00141 , 1 )
( 1573 , FR941006-1-00141 , 1 )
( 75 , FR941006-1-00141 , 1 )
( 3659 , FR941006-1-00141 , 1 )
( 3531 , FR941006-1-00141 , 1 )
( 168 , FR941006-1-00141 , 1 )
( 82 , FR941006-1-00141 , 1 )
( 1239 , FR941006-1-00141 , 1 )
( 66 , FR941006-1-00141 , 1 )
( 31107 , FR941006-1-00141 , 1 )
( 45 , FR941006-1-00141 , 1 )
( 6223 , FR941006-1-00141 , 1 )
( 393 , FR941006-1-00141 , 1 )
( 12 , FR941006-1-00141 , 1 )
( 3196 , FR941006-1-00141 , 1 )
( 168 , FR941006-1-00141 , 1 )
( 82 , FR941006-1-00141 , 1 )
( 998 , FR941006-1-00141 , 1 )
( 2822 , FR941006-1-00141 , 1 )
( 1907 , FR941006-1-00141 , 1 )
( 1786 , FR941006-1-00141 , 1 )
( 41 , FR941006-1-00141 , 1 )
( 1573 , FR941006-1-00141 , 1 )
( 75 , FR941006-1-00141 , 1 )
( 176 , FR941006-1-00141 , 1 )
( 168 , FR941006-1-00141 , 1 )
( 82 , FR941006-1-00141 , 1 )
( 7252 , FR941006-1-00141 , 1 )
( 16726 , FR941006-1-00141 , 1 )
( 123 , FR941006-1-00141 , 1 )
( 17271 , FR941006-1-00141 , 1 )
( 28 , FR941006-1-00141 , 1 )
( 41 , FR941006-1-00141 , 1 )
( 690 , FR941006-1-00141 , 1 )
( 862 , FR941006-1-00141 , 1 )
( 405 , FR941006-1-00141 , 1 )
( 12 , FR941006-1-00141 , 1 )
( 3196 , FR941006-1-00141 , 1 )
( 24239 , FR941006-1-00141 , 1 )
( 18894 , FR941006-1-00141 , 1 )
( 817 , FR941006-1-00141 , 1 )
( 41 , FR941006-1-00141 , 1 )
( 985 , FR941006-1-00141 , 1 )
( 491 , FR941006-1-00141 , 1 )
( 12 , FR941006-1-00141 , 1 )
( 3880 , FR941006-1-00141 , 1 )
( 1516 , FR941006-1-00141 , 1 )
( 5094 , FR941006-1-00141 , 1 )
( 60 , FR941006-1-00141 , 1 )
( 41 , FR941006-1-00141 , 1 )
( 4843 , FR941006-1-00141 , 1 )
( 18873 , FR941006-1-00141 , 1 )
( 311 , FR941006-1-00141 , 1 )
( 599 , FR941006-1-00141 , 1 )
( 3295 , FR941006-1-00141 , 1 )
( 123 , FR941006-1-00141 , 1 )
( 3400 , FR941006-1-00141 , 1 )
( 153 , FR941006-1-00141 , 1 )
( 45 , FR941006-1-00141 , 1 )
( 2891 , FR941006-1-00141 , 1 )
( 12 , FR941006-1-00141 , 1 )
( 610 , FR941006-1-00141 , 1 )
( 66 , FR941006-1-00141 , 1 )
( 9050 , FR941006-1-00141 , 1 )
( 3209 , FR941006-1-00141 , 1 )
( 5 , FR941006-1-00141 , 1 )
( 2738 , FR941006-1-00141 , 1 )
( 1685 , FR941006-1-00141 , 1 )
( 75 , FR941006-1-00141 , 1 )
( 4668 , FR941006-1-00141 , 1 )
( 12 , FR941006-1-00141 , 1 )
( 599 , FR941006-1-00141 , 1 )
( 3295 , FR941006-1-00141 , 1 )
( 123 , FR941006-1-00141 , 1 )
( 3400 , FR941006-1-00141 , 1 )
( 482 , FR941006-1-00141 , 1 )
( 4149 , FR941006-1-00141 , 1 )
( 12 , FR941006-1-00141 , 1 )
( 469 , FR941006-1-00141 , 1 )
( 66 , FR941006-1-00141 , 1 )
( 318 , FR941006-1-00141 , 1 )
( 2106 , FR941006-1-00141 , 1 )
( 3196 , FR941006-1-00141 , 1 )
( 986 , FR941006-1-00141 , 1 )
( 3880 , FR941006-1-00141 , 1 )
( 1567 , FR941006-1-00141 , 1 )
( 42 , FR941006-1-00141 , 1 )
( 1609 , FR941006-1-00141 , 1 )
( 66 , FR941006-1-00141 , 1 )
( 327 , FR941006-1-00141 , 1 )
( 45 , FR941006-1-00141 , 1 )
( 2876 , FR941006-1-00141 , 1 )
( 6223 , FR941006-1-00141 , 1 )
( 5110 , FR941006-1-00141 , 1 )
( 12 , FR941006-1-00141 , 1 )
( 3196 , FR941006-1-00141 , 1 )
( 588 , FR941006-1-00141 , 1 )
( 751 , FR941006-1-00141 , 1 )
( 274 , FR941006-1-00141 , 1 )
( 2915 , FR941006-1-00141 , 1 )
( 2106 , FR941006-1-00141 , 1 )
( 66 , FR941006-1-00141 , 1 )
( 45 , FR941006-1-00141 , 1 )
( 3659 , FR941006-1-00141 , 1 )
( 3900 , FR941006-1-00141 , 1 )
( 44 , FR941006-1-00142 , 1 )
( 84 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 1480 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 165 , FR941006-1-00142 , 1 )
( 157 , FR941006-1-00142 , 1 )
( 2322 , FR941006-1-00142 , 1 )
( 28 , FR941006-1-00142 , 1 )
( 4843 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 29194 , FR941006-1-00142 , 1 )
( 2699 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 690 , FR941006-1-00142 , 1 )
( 4843 , FR941006-1-00142 , 1 )
( 18894 , FR941006-1-00142 , 1 )
( 311 , FR941006-1-00142 , 1 )
( 2806 , FR941006-1-00142 , 1 )
( 66 , FR941006-1-00142 , 1 )
( 82 , FR941006-1-00142 , 1 )
( 2691 , FR941006-1-00142 , 1 )
( 153 , FR941006-1-00142 , 1 )
( 45 , FR941006-1-00142 , 1 )
( 3585 , FR941006-1-00142 , 1 )
( 2885 , FR941006-1-00142 , 1 )
( 2411 , FR941006-1-00142 , 1 )
( 73 , FR941006-1-00142 , 1 )
( 398 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 2806 , FR941006-1-00142 , 1 )
( 66 , FR941006-1-00142 , 1 )
( 82 , FR941006-1-00142 , 1 )
( 2322 , FR941006-1-00142 , 1 )
( 28 , FR941006-1-00142 , 1 )
( 88 , FR941006-1-00142 , 1 )
( 18894 , FR941006-1-00142 , 1 )
( 308 , FR941006-1-00142 , 1 )
( 1118 , FR941006-1-00142 , 1 )
( 2702 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 4444 , FR941006-1-00142 , 1 )
( 2741 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 308 , FR941006-1-00142 , 1 )
( 227 , FR941006-1-00142 , 1 )
( 84 , FR941006-1-00142 , 1 )
( 68 , FR941006-1-00142 , 1 )
( 44 , FR941006-1-00142 , 1 )
( 17629 , FR941006-1-00142 , 1 )
( 2736 , FR941006-1-00142 , 1 )
( 2702 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 4444 , FR941006-1-00142 , 1 )
( 2741 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 2233 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 1504 , FR941006-1-00142 , 1 )
( 1887 , FR941006-1-00142 , 1 )
( 318 , FR941006-1-00142 , 1 )
( 2106 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 1286 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 986 , FR941006-1-00142 , 1 )
( 3880 , FR941006-1-00142 , 1 )
( 1567 , FR941006-1-00142 , 1 )
( 44 , FR941006-1-00142 , 1 )
( 84 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 4312 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 2322 , FR941006-1-00142 , 1 )
( 398 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 4843 , FR941006-1-00142 , 1 )
( 18894 , FR941006-1-00142 , 1 )
( 308 , FR941006-1-00142 , 1 )
( 2806 , FR941006-1-00142 , 1 )
( 66 , FR941006-1-00142 , 1 )
( 82 , FR941006-1-00142 , 1 )
( 2691 , FR941006-1-00142 , 1 )
( 153 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 2233 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 482 , FR941006-1-00142 , 1 )
( 4149 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 480 , FR941006-1-00142 , 1 )
( 2106 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 1286 , FR941006-1-00142 , 1 )
( 986 , FR941006-1-00142 , 1 )
( 3880 , FR941006-1-00142 , 1 )
( 1567 , FR941006-1-00142 , 1 )
( 2738 , FR941006-1-00142 , 1 )
( 42 , FR941006-1-00142 , 1 )
( 163 , FR941006-1-00142 , 1 )
( 4125 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 170 , FR941006-1-00142 , 1 )
( 4843 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 24239 , FR941006-1-00142 , 1 )
( 18894 , FR941006-1-00142 , 1 )
( 2691 , FR941006-1-00142 , 1 )
( 153 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 2233 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 301 , FR941006-1-00142 , 1 )
( 4312 , FR941006-1-00142 , 1 )
( 311 , FR941006-1-00142 , 1 )
( 299 , FR941006-1-00142 , 1 )
( 231 , FR941006-1-00142 , 1 )
( 480 , FR941006-1-00142 , 1 )
( 2106 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 986 , FR941006-1-00142 , 1 )
( 3880 , FR941006-1-00142 , 1 )
( 1567 , FR941006-1-00142 , 1 )
( 1341 , FR941006-1-00142 , 1 )
( 81 , FR941006-1-00142 , 1 )
( 508 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 690 , FR941006-1-00142 , 1 )
( 4843 , FR941006-1-00142 , 1 )
( 18894 , FR941006-1-00142 , 1 )
( 311 , FR941006-1-00142 , 1 )
( 2806 , FR941006-1-00142 , 1 )
( 66 , FR941006-1-00142 , 1 )
( 82 , FR941006-1-00142 , 1 )
( 2691 , FR941006-1-00142 , 1 )
( 153 , FR941006-1-00142 , 1 )
( 48 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 2233 , FR941006-1-00142 , 1 )
( 73 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 455 , FR941006-1-00142 , 1 )
( 299 , FR941006-1-00142 , 1 )
( 231 , FR941006-1-00142 , 1 )
( 2213 , FR941006-1-00142 , 1 )
( 2106 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 986 , FR941006-1-00142 , 1 )
( 3880 , FR941006-1-00142 , 1 )
( 1567 , FR941006-1-00142 , 1 )
( 266 , FR941006-1-00142 , 1 )
( 2738 , FR941006-1-00142 , 1 )
( 3360 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 1420 , FR941006-1-00142 , 1 )
( 1567 , FR941006-1-00142 , 1 )
( 5110 , FR941006-1-00142 , 1 )
( 2813 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 1887 , FR941006-1-00142 , 1 )
( 318 , FR941006-1-00142 , 1 )
( 2106 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 1286 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 986 , FR941006-1-00142 , 1 )
( 3880 , FR941006-1-00142 , 1 )
( 1567 , FR941006-1-00142 , 1 )
( 168 , FR941006-1-00142 , 1 )
( 327 , FR941006-1-00142 , 1 )
( 258 , FR941006-1-00142 , 1 )
( 45 , FR941006-1-00142 , 1 )
( 1080 , FR941006-1-00142 , 1 )
( 4686 , FR941006-1-00142 , 1 )
( 6504 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 2757 , FR941006-1-00142 , 1 )
( 330 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 4312 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 165 , FR941006-1-00142 , 1 )
( 3516 , FR941006-1-00142 , 1 )
( 157 , FR941006-1-00142 , 1 )
( 2691 , FR941006-1-00142 , 1 )
( 153 , FR941006-1-00142 , 1 )
( 4843 , FR941006-1-00142 , 1 )
( 18894 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 92 , FR941006-1-00142 , 1 )
( 817 , FR941006-1-00142 , 1 )
( 66 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 35 , FR941006-1-00142 , 1 )
( 1942 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 1887 , FR941006-1-00142 , 1 )
( 318 , FR941006-1-00142 , 1 )
( 2106 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 1286 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 986 , FR941006-1-00142 , 1 )
( 3880 , FR941006-1-00142 , 1 )
( 1567 , FR941006-1-00142 , 1 )
( 57 , FR941006-1-00142 , 1 )
( 479 , FR941006-1-00142 , 1 )
( 3320 , FR941006-1-00142 , 1 )
( 66 , FR941006-1-00142 , 1 )
( 4041 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 4676 , FR941006-1-00142 , 1 )
( 3532 , FR941006-1-00142 , 1 )
( 84 , FR941006-1-00142 , 1 )
( 17629 , FR941006-1-00142 , 1 )
( 68 , FR941006-1-00142 , 1 )
( 17629 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 2233 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 186 , FR941006-1-00142 , 1 )
( 82 , FR941006-1-00142 , 1 )
( 1025 , FR941006-1-00142 , 1 )
( 44 , FR941006-1-00142 , 1 )
( 2735 , FR941006-1-00142 , 1 )
( 2736 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 4844 , FR941006-1-00142 , 1 )
( 2727 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 2738 , FR941006-1-00142 , 1 )
( 1685 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 398 , FR941006-1-00142 , 1 )
( 12 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 2233 , FR941006-1-00142 , 1 )
( 334 , FR941006-1-00142 , 1 )
( 2691 , FR941006-1-00142 , 1 )
( 153 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 690 , FR941006-1-00142 , 1 )
( 4843 , FR941006-1-00142 , 1 )
( 24239 , FR941006-1-00142 , 1 )
( 18894 , FR941006-1-00142 , 1 )
( 308 , FR941006-1-00142 , 1 )
( 1296 , FR941006-1-00142 , 1 )
( 1025 , FR941006-1-00142 , 1 )
( 44 , FR941006-1-00142 , 1 )
( 17629 , FR941006-1-00142 , 1 )
( 3055 , FR941006-1-00142 , 1 )
( 123 , FR941006-1-00142 , 1 )
( 2736 , FR941006-1-00142 , 1 )
( 2738 , FR941006-1-00142 , 1 )
( 2752 , FR941006-1-00142 , 1 )
( 75 , FR941006-1-00142 , 1 )
( 17629 , FR941006-1-00142 , 1 )
( 3196 , FR941006-1-00142 , 1 )
( 2233 , FR941006-1-00142 , 1 )
( 3055 , FR941006-1-00142 , 1 )
( 8 , FR941006-1-00142 , 1 )
( 2736 , FR941006-1-00142 , 1 )
( 177 , FR941006-1-00142 , 1 )
( 41 , FR941006-1-00142 , 1 )
( 5835 , FR941006-1-00142 , 1 )
