( 6201 , FR940617-2-00082 , 1 )
( 45 , FR940617-2-00082 , 1 )
( 19832 , FR940617-2-00082 , 1 )
( 8 , FR940617-2-00082 , 1 )
( 22084 , FR940617-2-00082 , 1 )
( 2234 , FR940617-2-00082 , 1 )
( 66 , FR940617-2-00082 , 1 )
( 1454 , FR940617-2-00082 , 1 )
( 880 , FR940617-2-00082 , 1 )
( 761 , FR940617-2-00082 , 1 )
( 66 , FR940617-2-00082 , 1 )
( 22280 , FR940617-2-00082 , 1 )
( 28 , FR940617-2-00082 , 1 )
( 14832 , FR940617-2-00082 , 1 )
( 2629 , FR940617-2-00082 , 1 )
( 8240 , FR940617-2-00082 , 1 )
( 41 , FR940617-2-00082 , 1 )
( 984 , FR940617-2-00082 , 1 )
( 620 , FR940617-2-00082 , 1 )
( 42 , FR940617-2-00082 , 1 )
( 22281 , FR940617-2-00082 , 1 )
( 66 , FR940617-2-00082 , 1 )
( 82 , FR940617-2-00082 , 1 )
( 10985 , FR940617-2-00082 , 1 )
( 60 , FR940617-2-00082 , 1 )
( 22280 , FR940617-2-00082 , 1 )
( 22277 , FR940617-2-00082 , 1 )
( 215 , FR940617-2-00082 , 1 )
( 75 , FR940617-2-00082 , 1 )
( 41 , FR940617-2-00082 , 1 )
( 392 , FR940617-2-00082 , 1 )
( 3379 , FR940617-2-00082 , 1 )
( 8281 , FR940617-2-00082 , 1 )
( 22273 , FR940617-2-00082 , 1 )
( 986 , FR940617-2-00082 , 1 )
( 319 , FR940617-2-00082 , 1 )
( 8 , FR940617-2-00082 , 1 )
( 22282 , FR940617-2-00082 , 1 )
( 22273 , FR940617-2-00082 , 1 )
( 986 , FR940617-2-00082 , 1 )
( 375 , FR940617-2-00082 , 1 )
( 731 , FR940617-2-00082 , 1 )
( 163 , FR940617-2-00082 , 1 )
( 2809 , FR940617-2-00082 , 1 )
( 41 , FR940617-2-00082 , 1 )
( 3379 , FR940617-2-00082 , 1 )
( 1273 , FR940617-2-00082 , 1 )
( 437 , FR940617-2-00082 , 1 )
( 66 , FR940617-2-00082 , 1 )
( 63 , FR940617-2-00082 , 1 )
( 203 , FR940617-2-00082 , 1 )
( 8 , FR940617-2-00082 , 1 )
( 22277 , FR940617-2-00082 , 1 )
( 156 , FR940617-2-00082 , 1 )
( 1609 , FR940617-2-00082 , 1 )
( 1139 , FR940617-2-00082 , 1 )
( 66 , FR940617-2-00082 , 1 )
( 5712 , FR940617-2-00082 , 1 )
( 41 , FR940617-2-00082 , 1 )
( 1616 , FR940617-2-00082 , 1 )
( 46 , FR940617-2-00082 , 1 )
( 1706 , FR940617-2-00082 , 1 )
( 66 , FR940617-2-00082 , 1 )
( 611 , FR940617-2-00082 , 1 )
( 404 , FR940617-2-00082 , 1 )
( 1268 , FR940617-2-00082 , 1 )
( 320 , FR940617-2-00082 , 1 )
( 95 , FR940617-2-00082 , 1 )
( 28 , FR940617-2-00082 , 1 )
( 201 , FR940617-2-00082 , 1 )
( 153 , FR940617-2-00082 , 1 )
( 1077 , FR940617-2-00082 , 1 )
( 695 , FR940617-2-00082 , 1 )
( 911 , FR940617-2-00082 , 1 )
( 482 , FR940617-2-00082 , 1 )
( 41 , FR940617-2-00082 , 1 )
( 2619 , FR940617-2-00082 , 1 )
( 12 , FR940617-2-00082 , 1 )
( 63 , FR940617-2-00082 , 1 )
