( 4 , FR940128-2-00223 , 1 )
( 4 , FR940128-2-00224 , 1 )
( 8 , FR940128-2-00222 , 1 )
( 8 , FR940128-2-00222 , 1 )
( 8 , FR940128-2-00222 , 1 )
( 8 , FR940128-2-00222 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00223 , 1 )
( 8 , FR940128-2-00224 , 1 )
( 8 , FR940128-2-00224 , 1 )
( 8 , FR940128-2-00224 , 1 )
( 11 , FR940128-2-00224 , 1 )
( 11 , FR940128-2-00224 , 1 )
( 11 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00222 , 1 )
( 12 , FR940128-2-00222 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00223 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 12 , FR940128-2-00224 , 1 )
( 17 , FR940128-2-00223 , 1 )
( 17 , FR940128-2-00223 , 1 )
( 17 , FR940128-2-00223 , 1 )
( 17 , FR940128-2-00223 , 1 )
( 17 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00222 , 1 )
( 28 , FR940128-2-00222 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 28 , FR940128-2-00223 , 1 )
( 34 , FR940128-2-00223 , 1 )
( 34 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00222 , 1 )
( 41 , FR940128-2-00222 , 1 )
( 41 , FR940128-2-00222 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00223 , 1 )
( 41 , FR940128-2-00224 , 1 )
( 41 , FR940128-2-00224 , 1 )
( 41 , FR940128-2-00224 , 1 )
( 41 , FR940128-2-00224 , 1 )
( 41 , FR940128-2-00224 , 1 )
( 41 , FR940128-2-00224 , 1 )
( 42 , FR940128-2-00223 , 1 )
( 42 , FR940128-2-00223 , 1 )
( 42 , FR940128-2-00223 , 1 )
( 42 , FR940128-2-00224 , 1 )
( 42 , FR940128-2-00224 , 1 )
( 44 , FR940128-2-00223 , 1 )
( 44 , FR940128-2-00223 , 1 )
( 44 , FR940128-2-00223 , 1 )
( 44 , FR940128-2-00224 , 1 )
( 45 , FR940128-2-00222 , 1 )
( 45 , FR940128-2-00222 , 1 )
( 45 , FR940128-2-00222 , 1 )
( 45 , FR940128-2-00223 , 1 )
( 45 , FR940128-2-00223 , 1 )
( 45 , FR940128-2-00223 , 1 )
( 45 , FR940128-2-00223 , 1 )
( 45 , FR940128-2-00223 , 1 )
( 45 , FR940128-2-00224 , 1 )
( 47 , FR940128-2-00224 , 1 )
( 48 , FR940128-2-00223 , 1 )
( 48 , FR940128-2-00223 , 1 )
( 48 , FR940128-2-00223 , 1 )
( 48 , FR940128-2-00224 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 60 , FR940128-2-00223 , 1 )
( 63 , FR940128-2-00223 , 1 )
( 63 , FR940128-2-00223 , 1 )
( 63 , FR940128-2-00223 , 1 )
( 63 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00223 , 1 )
( 66 , FR940128-2-00224 , 1 )
( 66 , FR940128-2-00224 , 1 )
( 72 , FR940128-2-00224 , 1 )
( 75 , FR940128-2-00222 , 1 )
( 75 , FR940128-2-00222 , 1 )
( 75 , FR940128-2-00223 , 1 )
( 75 , FR940128-2-00223 , 1 )
( 75 , FR940128-2-00224 , 1 )
( 75 , FR940128-2-00224 , 1 )
( 76 , FR940128-2-00223 , 1 )
( 76 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00222 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 82 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 84 , FR940128-2-00223 , 1 )
( 90 , FR940128-2-00223 , 1 )
( 90 , FR940128-2-00223 , 1 )
( 94 , FR940128-2-00223 , 1 )
( 95 , FR940128-2-00223 , 1 )
( 96 , FR940128-2-00223 , 1 )
( 99 , FR940128-2-00224 , 1 )
( 102 , FR940128-2-00223 , 1 )
( 102 , FR940128-2-00223 , 1 )
( 102 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00223 , 1 )
( 110 , FR940128-2-00224 , 1 )
( 110 , FR940128-2-00224 , 1 )
( 123 , FR940128-2-00222 , 1 )
( 123 , FR940128-2-00222 , 1 )
( 123 , FR940128-2-00222 , 1 )
( 123 , FR940128-2-00222 , 1 )
( 123 , FR940128-2-00223 , 1 )
( 123 , FR940128-2-00223 , 1 )
( 123 , FR940128-2-00223 , 1 )
( 123 , FR940128-2-00223 , 1 )
( 123 , FR940128-2-00223 , 1 )
( 123 , FR940128-2-00223 , 1 )
( 123 , FR940128-2-00223 , 1 )
( 127 , FR940128-2-00224 , 1 )
( 127 , FR940128-2-00224 , 1 )
( 139 , FR940128-2-00223 , 1 )
( 141 , FR940128-2-00223 , 1 )
( 141 , FR940128-2-00224 , 1 )
( 146 , FR940128-2-00224 , 1 )
( 146 , FR940128-2-00224 , 1 )
( 148 , FR940128-2-00224 , 1 )
( 153 , FR940128-2-00223 , 1 )
( 153 , FR940128-2-00223 , 1 )
( 153 , FR940128-2-00223 , 1 )
( 153 , FR940128-2-00224 , 1 )
( 163 , FR940128-2-00223 , 1 )
( 167 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00222 , 1 )
( 168 , FR940128-2-00222 , 1 )
( 168 , FR940128-2-00222 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 168 , FR940128-2-00223 , 1 )
( 170 , FR940128-2-00223 , 1 )
( 170 , FR940128-2-00223 , 1 )
( 170 , FR940128-2-00223 , 1 )
( 170 , FR940128-2-00223 , 1 )
( 171 , FR940128-2-00224 , 1 )
( 171 , FR940128-2-00224 , 1 )
( 171 , FR940128-2-00224 , 1 )
( 186 , FR940128-2-00223 , 1 )
( 194 , FR940128-2-00223 , 1 )
( 210 , FR940128-2-00223 , 1 )
( 210 , FR940128-2-00223 , 1 )
( 210 , FR940128-2-00223 , 1 )
( 210 , FR940128-2-00224 , 1 )
( 211 , FR940128-2-00223 , 1 )
( 211 , FR940128-2-00223 , 1 )
( 212 , FR940128-2-00223 , 1 )
( 212 , FR940128-2-00223 , 1 )
( 212 , FR940128-2-00223 , 1 )
